marca,year,color,combustible,puertas,transmision,motor,carroceria,km,price_in_pesos
kia,2021,blanco,diésel,2,manual,2.0,sedán,1000,5200000
chevrolet,2011,dorado,nafta,4,manual,1.6,sedán,82000,1310000
toyota,2014,blanco,nafta,5,automática,2.5,suv,156000,4190000
mitsubishi,2001,blanco,diésel,5,automática,2.8,suv,230000,2300000
mercedes-benz,2020,blanco,nafta,5,automática,1.3,hatchback,36000,9998000
ford,2017,blanco,nafta,5,manual,1.6,hatchback,35000,2400000
audi,2012,blanco,nafta,4,manual,2.0,sedán,85000,4500000
ford,2021,gris,diésel,4,automática,3.2,pick-up,19000,9400000
toyota,2017,marrón,nafta,4,automática,1.8,sedán,100000,3690000
ford,2021,negro,nafta,5,manual,1.5,hatchback,3950,3100000
toyota,2007,gris,diésel,5,manual,3.0,suv,203000,4650000
honda,2012,blanco,nafta,5,automática,2.4,suv,138000,3450000
honda,2012,gris,nafta,5,automática,2.4,suv,134000,4050000
peugeot,2016,gris,diésel,5,manual,1.6,hatchback,80500,2970000
renault,2016,gris,nafta,3,manual,1.2,hatchback,130000,1720000
renault,1989,gris,nafta,2,manual,2.2,coupé,120000,2200000
audi,2020,azul,nafta,5,automática,1.4,suv,32000,11180000
ford,2020,gris,diésel,4,automática,3.2,pick-up,14500,8650000
peugeot,2015,blanco,nafta,5,manual,1.6,hatchback,70000,2300000
volkswagen,2012,azul,nafta,5,manual,1.4,monovolumen,176000,2790000
peugeot,2019,blanco,nafta,5,automática,1.6,hatchback,35000,3490000
citroën,2013,negro,nafta,3,manual,1.6,hatchback,83000,2390000
volkswagen,2018,blanco,nafta,5,manual,1.6,hatchback,55000,2850000
toyota,2016,blanco,nafta/gnc,4,manual,1.5,sedán,58000,1998000
peugeot,2012,plateado,nafta,2,manual,1.6,coupé,29000,5100000
mercedes-benz,2017,gris,nafta,5,automática,1.6,suv,35000,8580000
mercedes-benz,2018,blanco,nafta,5,automática,2.0,hatchback,38000,9100000
audi,2013,gris,nafta,2,manual,2.0,coupé,60000,5999800
peugeot,2016,blanco,nafta,5,manual,1.6,hatchback,60000,2600000
renault,2018,blanco,nafta,5,manual,1.6,hatchback,26000,3090000
audi,2020,blanco,nafta,3,automática,1.4,hatchback,999,8394000
ford,2014,rojo,nafta,5,manual,1.6,suv,99000,2300000
volkswagen,2016,gris,nafta,4,manual,2.5,sedán,74614,3300000
mini,2020,azul,nafta,5,automática,2.0,hatchback,27000,7580000
renault,2019,rojo,nafta,5,automática,1.6,suv,24478,5000000
chrysler,2014,gris,nafta,4,automática,3.6,sedán,45000,6700000
audi,2021,blanco,nafta,5,automática,2.0,suv,999,16440000
fiat,2016,violeta,nafta,5,manual,1.0,hatchback,61000,1700000
volkswagen,2018,plateado,diésel,4,automática,2.0,pick-up,83000,6400000
audi,2021,plateado,nafta,5,automática,2.0,suv,1000,16440000
audi,2021,rojo,nafta,5,automática,1.0,hatchback,999,7980000
honda,2012,plateado,nafta,5,automática,1.4,hatchback,77000,2450500
renault,2014,rojo,nafta,4,manual,1.6,monovolumen,123000,1900500
jeep,2018,negro,nafta,5,manual,1.8,suv,42410,3850000
fiat,2018,blanco,nafta,5,manual,1.4,suv,78845,4320000
volkswagen,2018,gris,nafta,5,automática,1.4,rural,91500,3990000
citroën,2017,blanco,nafta,5,manual,1.6,hatchback,81000,2440000
toyota,2019,negro,nafta,5,manual,1.5,hatchback,32300,2690000
volkswagen,2020,violeta,nafta,5,manual,1.6,suv,13000,4720000
chevrolet,2017,plateado,diésel,4,manual,2.8,pick-up,55000,4700000
ford,2015,blanco,nafta,5,manual,1.6,hatchback,95000,2270000
volkswagen,2017,blanco,nafta,4,manual,2.0,sedán,64717,5050000
ford,2021,blanco,nafta,5,manual,1.5,suv,1500,3590000
ford,2017,blanco,nafta,5,manual,1.6,hatchback,27000,2900500
ford,2017,blanco,nafta,4,manual,1.6,sedán,70000,2750000
ford,2019,rojo,nafta,5,automática,2.0,hatchback,30000,4490000
peugeot,2021,negro,nafta,5,automática,1.6,hatchback,8300,4500000
fiat,2019,rojo,nafta,3,manual,1.4,hatchback,9000,5100000
audi,2019,gris,nafta,3,automática,1.4,hatchback,90000,4980000
peugeot,2018,blanco,nafta,5,automática,1.6,hatchback,24000,3490000
lexus,2020,gris,híbrido,5,automática,2.5,suv,19000,9200000
jeep,2021,blanco,nafta,5,manual,1.8,suv,12000,4600000
volkswagen,2017,gris,nafta,5,manual,1.6,hatchback,44000,3180000
fiat,2009,gris,nafta,5,manual,1.8,hatchback,150000,1150000
volkswagen,2017,beige,nafta,5,automática,1.4,hatchback,88800,4580000
volkswagen,2017,beige,nafta,5,automática,1.4,hatchback,88800,4700000
smart,2011,blanco,nafta,3,automática,1.0,hatchback,56000,2100000
smart,2011,blanco,nafta,3,automática,1.0,hatchback,56000,2050000
renault,2020,blanco,nafta,4,manual,1.6,sedán,13600,2750000
renault,2017,blanco,nafta,4,manual,2.0,suv,64500,3350000
renault,2019,gris,nafta,5,manual,1.6,suv,38570,3550000
peugeot,2017,gris,nafta,5,manual,1.6,hatchback,53200,2650000
ford,2012,blanco,nafta,5,manual,1.6,suv,160000,1700000
ford,2015,rojo,nafta,5,manual,1.6,hatchback,95900,1920000
chevrolet,2014,rojo,nafta,5,manual,1.8,suv,125000,2790000
chevrolet,2010,azul,nafta/gnc,5,manual,2.0,sedán,168000,1090000
dodge,2013,naranja,nafta,5,automática,2.4,suv,154000,3150000
bmw,2009,gris,nafta,4,manual,2.5,sedán,160000,2500000
